8006	perl-base	5.40.1-6+deb13u1
19993	perl-modules-5.40	5.40.1-6+deb13u1
2975	procps	2:4.0.4-9
83	python3	3.13.5-1
112	python3-minimal	3.13.5-1
830	python3.13	3.13.5-2+deb13u5
6613	python3.13-minimal	3.13.5-2+deb13u5
89	readline-common	8.2-6
4810	ripgrep	14.1.1-1+b4
995	sed	4.9-2+deb13u1
5195	shared-mime-info	2.4-5+b2
1631	sqv	1.3.0-3+b2
13327	systemd	257.13-1~deb13u1
97	systemd-sysv	257.13-1~deb13u1
196	sysvinit-utils	3.14-4
3105	tar	1.35+dfsg-3.1
1361	tzdata	2026b-0+deb13u1
495	unzip	6.0-29+deb13u1
7402	util-linux	2.41.5-0+deb13u1
3780	wget	1.25.0-2
275	x11-common	1:7.7+24+deb13u1
1334	x11-utils	7.7+7
776	x11-xkb-utils	7.7+9
97	xauth	1:1.1.2-1.1
84	xdg-dbus-proxy	0.1.6-1+deb13u2
348	xdg-utils	1.2.1-2
7164	xfonts-base	1:1.0.5+nmu1
667	xfonts-encodings	1:1.0.4-2.2
589	xfonts-utils	1:7.7+7
6911	xkb-data	2.42-1
2470	xserver-common	2:21.1.16-1.3+deb13u4
4597	xvfb	2:21.1.16-1.3+deb13u4
1500	xz-utils	5.8.1-1+deb13u1
803	zip	3.0-15+deb13u1
181	zlib1g	1:1.3.dfsg+really1.3.1-1+b1
